camera,age,ram,cpu_score,slot_sd,sims,price
28,1,8,61,1,1,46218
12,2,8,43,1,1,33359
99,0,16,44,1,1,32816
177,3,12,76,0,1,63026
68,2,4,80,0,1,58705
29,2,16,88,0,1,69922
156,3,6,52,0,2,58164
77,0,6,73,0,2,16378
8,0,4,84,1,2,9881
140,2,12,61,0,2,47567
19,0,16,92,0,1,55365
97,1,8,98,0,2,21675
53,3,4,62,0,2,12586
41,1,12,90,0,2,33006
184,0,8,42,1,1,49198
85,2,6,81,0,2,30831
52,3,6,73,0,1,43113
162,0,8,71,0,2,24459
80,0,4,84,1,1,40443
33,2,6,90,1,1,50316
54,2,16,97,1,2,38595
128,1,8,88,0,1,13877
63,3,8,60,1,1,47553
101,3,6,85,0,2,56601
114,2,4,83,0,2,12922
70,1,16,60,1,2,65242
55,3,4,83,0,1,59482
68,2,12,50,0,1,12686
88,0,12,78,0,1,40766
33,3,6,43,1,2,22407
43,1,6,90,0,1,40006
8,1,6,40,0,1,39422
15,1,12,67,1,1,59054
120,0,4,63,0,1,20205
106,3,4,100,0,1,29054
187,3,6,74,1,1,31527
54,0,16,52,0,1,53947
134,3,4,86,0,2,26443
63,0,12,73,0,2,24524
21,0,8,50,0,2,58941
35,0,8,75,0,1,36202
85,1,8,90,1,1,8016
137,3,16,100,1,2,54142
116,0,6,56,1,1,69692
161,3,12,74,1,2,24848
21,1,16,99,0,1,28855
194,0,12,57,0,1,26211
63,2,12,79,0,2,68372
122,1,6,61,0,2,33095
14,2,8,96,0,2,46724
10,3,6,63,1,2,57241
118,3,16,97,1,2,45583
158,1,16,58,0,1,60003
114,3,16,76,0,1,10843
25,2,6,78,0,1,37301
45,0,12,60,1,2,34460
122,0,12,47,0,2,39918
22,0,4,67,0,2,36747
199,1,16,44,0,2,23972
126,3,12,56,1,2,66269
35,2,4,76,0,2,36310
46,3,12,75,1,1,30927
192,3,16,93,1,1,63053
24,3,8,58,1,1,58121
93,0,16,66,1,1,9094
133,2,6,92,1,1,46892
51,2,12,73,1,2,64499
32,3,12,50,0,2,60347
152,0,6,93,0,2,42172
20,0,6,84,0,2,68708
32,2,8,86,1,2,31324
75,0,12,51,0,2,28674
145,0,12,93,1,1,11982
74,0,8,60,1,2,53283
116,1,4,93,1,2,23790
153,3,8,50,0,2,20205
118,2,16,78,1,2,62707
118,2,12,67,1,1,32338
41,1,6,44,0,1,20748
118,3,16,56,0,2,29097
15,2,12,95,1,1,11092
175,0,8,59,1,1,61311
120,2,16,80,0,2,30692
90,0,12,85,0,2,67418
49,1,4,97,0,2,31862
176,0,4,51,1,2,32860
108,2,6,45,0,2,21971
13,2,12,56,0,1,22616
187,2,4,90,0,2,12933
33,1,8,58,1,2,12926
71,1,12,65,0,2,33763
194,3,8,87,0,1,11969
191,2,8,83,0,2,43733
66,0,4,83,0,2,12319
116,1,12,91,0,2,49743
128,2,16,71,1,1,47876
40,2,4,45,1,2,49909
188,1,4,94,1,2,28323
157,3,12,97,0,2,24428
28,1,12,75,1,1,42578
77,1,8,77,1,2,28950
119,0,12,50,1,2,51041
11,0,8,72,0,2,68842
101,3,4,63,0,1,49789
82,2,6,62,1,2,26293
197,1,16,54,1,2,14364
69,3,4,66,0,2,43349
101,0,12,50,0,1,8691
102,1,16,96,1,1,69363
159,2,6,90,0,2,38062
